canonical_smiles,bioactivity_class
CN(C)c1ccc(C#Cc2ncnc(N3CCN(S(=O)(=O)N(C)C)CC3)c2-c2ccc(Cl)cc2)cc1,0
Cc1ncnc2c1c1occc1n2C1OC(CO)C(O)C1O,0
CCC1(c2ccc(CSc3ccc(C#C[Si](C)(C)C)cc3)cc2)Sc2ccccc2-n2cccc2C1=O,0
Nc1ncnc2nc(-c3ccc(N4CCC5(CC4)OCCO5)nc3)cc(-c3cccc(Br)c3)c12,1
Nc1ncnc2nc(-c3ccc(N4CCOCC4)nc3)c(-c3ccc(F)cc3)c(-c3cccc(Br)c3)c12,1
c1ccc(CNc2ncnc3oc(-c4ccccc4)nc23)cc1,1
COc1ccc(-c2cc3c(N)ncnc3nc2-c2ccc(N(C)C)cc2)cc1Br,1
NCC1OC(n2cc(I)c3c(Cl)ncnc32)C(O)C1O,1
CCC1(c2ccc(CSc3ncccn3)cc2)Oc2ccccc2-n2cccc2C1=O,0
CCC1(c2ccc(CSc3ccc(I)cc3)cc2)Oc2ccccc2-n2cccc2C1=O,0
NCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,0
COCC1OC(n2cc(I)c3c(N)ncnc32)C(O)C1O,0
Nc1ncnc2c1c(-c1ccsc1)cn2C1OC(CO)C(O)C1O,0
Cn1ccc2c1c1c(-c3ccoc3)ncnc1n2C1OC(CO)C(O)C1O,0
CCOC1CN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)nn2)CC1OCC,1
OCC1OC(n2ccc3c(-c4cc[nH]c4)ncnc32)C(O)C1O,0
